No.,Location,Price,BD,BA,sq..ft.,URL,Image,Sold,Pending,PriceChange,Listed,Days_in_Market,Days_to_Pending
420,"18809 Birchwood Ave, Omaha, NE 68135","$390,000 ",4 bds,3 ba,"2,477 sqft",'https://www.zillow.com/homedetails/18809-Birchwood-Ave-Omaha-NE-68135/121788998_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/14/2024,1/8/2024,No,1/5/2024,40,3
44,"3114 S 121st St, Omaha, NE 68144","$265,000 ",1 bd,2 ba,"1,624 sqft",'https://www.zillow.com/homedetails/3114-S-121st-St-Omaha-NE-68144/75826174_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/20/2024,1/31/2024,Yes,1/10/2024,41,21
45,"5120 N 135th Ave, Omaha, NE 68164","$370,000 ",5 bds,4 ba,"2,914 sqft",'https://www.zillow.com/homedetails/5120-N-135th-Ave-Omaha-NE-68164/75766999_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/15/2024,1/16/2024,Yes,1/5/2024,41,11
322,"7781 N 88th St, Omaha, NE 68122","$297,000 ",3 bds,3 ba,"1,622 sqft",'https://www.zillow.com/homedetails/7781-N-88th-St-Omaha-NE-68122/244070524_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/21/2023,No,12/7/2023,41,14
323,"7781 N 88th St, Omaha, NE 68122","$297,000 ",3 bds,3 ba,"1,622 sqft",'https://www.zillow.com/homedetails/7781-N-88th-St-Omaha-NE-68122/244070524_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/21/2023,No,12/7/2023,41,14
335,"5140 Grant St, Omaha, NE 68104","$375,000 ",3 bds,3 ba,"2,464 sqft",'https://www.zillow.com/homedetails/5140-Grant-St-Omaha-NE-68104/75843123_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,12/12/2023,No,12/6/2023,41,6
336,"5140 Grant St, Omaha, NE 68104","$375,000 ",3 bds,3 ba,"2,464 sqft",'https://www.zillow.com/homedetails/5140-Grant-St-Omaha-NE-68104/75843123_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,12/12/2023,No,12/6/2023,41,6
361,"15009 Redman Ave, Omaha, NE 68116","$325,000 ",3 bds,3 ba,"1,812 sqft",'https://www.zillow.com/homedetails/15009-Redman-Ave-Omaha-NE-68116/75827272_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/15/2024,1/8/2024,No,1/5/2024,41,3
424,"5145 Emmet St, Omaha, NE 68104","$220,000 ",3 bds,2 ba,"1,878 sqft",'https://www.zillow.com/homedetails/5145-Emmet-St-Omaha-NE-68104/75884800_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/18/2024,12/11/2023,No,12/8/2023,41,3
425,"5145 Emmet St, Omaha, NE 68104","$220,000 ",3 bds,2 ba,"1,878 sqft",'https://www.zillow.com/homedetails/5145-Emmet-St-Omaha-NE-68104/75884800_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/18/2024,12/11/2023,No,12/8/2023,41,3
46,"21621 Grover St, Valley, NE 68022","$630,000 ",5 bds,4 ba,"2,855 sqft",'https://www.zillow.com/homedetails/21621-Grover-St-Valley-NE-68022/244067692_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/21/2024,1/20/2024,Yes,1/10/2024,42,10
47,"9440 Reynolds St, Omaha, NE 68122","$310,990 ",3 bds,3 ba,"2,044 sqft",'https://www.zillow.com/homedetails/9440-Reynolds-St-Omaha-NE-68122/337000185_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/15/2024,1/13/2024,Yes,1/4/2024,42,9
48,"2114 S 38th St, Omaha, NE 68105","$250,000 ",3 bds,1 ba,"1,226 sqft",'https://www.zillow.com/homedetails/2114-S-38th-St-Omaha-NE-68105/75888824_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/23/2024,1/1/2024,Yes,12/12/2023,42,20
49,"101 S 166th St, Omaha, NE 68118","$495,000 ",3 bds,4 ba,"3,317 sqft",'https://www.zillow.com/homedetails/101-S-166th-St-Omaha-NE-68118/75856652_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/19/2023,Yes,12/6/2023,42,13
50,"101 S 166th St, Omaha, NE 68118","$495,000 ",3 bds,4 ba,"3,317 sqft",'https://www.zillow.com/homedetails/101-S-166th-St-Omaha-NE-68118/75856652_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/19/2023,Yes,12/6/2023,42,13
352,"1323 S 51st Ave, Omaha, NE 68106","$215,000 ",2 bds,2 ba,"1,040 sqft",'https://www.zillow.com/homedetails/1323-S-51st-Ave-Omaha-NE-68106/118864291_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/26/2024,12/18/2023,No,12/15/2023,42,3
473,"11009 Ellison Ave, Omaha, NE 68164","$245,000 ",2 bds,3 ba,"1,749 sqft",'https://www.zillow.com/homedetails/11009-Ellison-Ave-Omaha-NE-68164/75877518_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/19/2023,No,12/8/2023,42,11
474,"11009 Ellison Ave, Omaha, NE 68164","$245,000 ",2 bds,3 ba,"1,749 sqft",'https://www.zillow.com/homedetails/11009-Ellison-Ave-Omaha-NE-68164/75877518_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/19/2023,No,12/8/2023,42,11
51,"3915 N 40th St, Omaha, NE 68111","$165,000 ",3 bds,1 ba,"1,014 sqft",'https://www.zillow.com/homedetails/3915-N-40th-St-Omaha-NE-68111/75830566_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/9/2024,1/12/2024,Yes,12/28/2023,43,15
329,"7423 Hanover St, Omaha, NE 68122","$265,000 ",3 bds,2 ba,"1,452 sqft",'https://www.zillow.com/homedetails/7423-Hanover-St-Omaha-NE-68122/118802914_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/31/2024,12/21/2023,No,12/19/2023,43,2
382,"11304 Y St, Omaha, NE 68137","$273,000 ",3 bds,2 ba,"1,536 sqft",'https://www.zillow.com/homedetails/11304-Y-St-Omaha-NE-68137/75795069_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/16/2024,1/6/2024,No,1/4/2024,43,2
383,"14961 Drexel St, Omaha, NE 68137","$311,000 ",3 bds,3 ba,"2,067 sqft",'https://www.zillow.com/homedetails/14961-Drexel-St-Omaha-NE-68137/75877876_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/15/2024,1/8/2024,No,1/3/2024,43,5
480,"5123 S 126th Ct, Omaha, NE 68137","$218,000 ",2 bds,3 ba,"2,132 sqft",'https://www.zillow.com/homedetails/5123-S-126th-Ct-Omaha-NE-68137/118783480_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/21/2024,1/12/2024,No,1/9/2024,43,3
52,"2308 S 49th St, Omaha, NE 68106","$250,000 ",3 bds,2 ba,"1,308 sqft",'https://www.zillow.com/homedetails/2308-S-49th-St-Omaha-NE-68106/75808603_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/15/2024,1/22/2024,Yes,1/2/2024,44,20
53,"3021 N 50th St, Omaha, NE 68104","$185,000 ",3 bds,3 ba,"1,640 sqft",'https://www.zillow.com/homedetails/3021-N-50th-St-Omaha-NE-68104/75829314_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/31/2024,12/30/2023,Yes,12/18/2023,44,12
54,"16512 Poppleton Ave, Omaha, NE 68130","$265,000 ",4 bds,3 ba,"2,008 sqft",'https://www.zillow.com/homedetails/16512-Poppleton-Ave-Omaha-NE-68130/75837328_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/16/2023,Yes,12/6/2023,44,10
55,"16512 Poppleton Ave, Omaha, NE 68130","$265,000 ",4 bds,3 ba,"2,008 sqft",'https://www.zillow.com/homedetails/16512-Poppleton-Ave-Omaha-NE-68130/75837328_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/16/2023,Yes,12/6/2023,44,10
56,"9606 Southby Plz, Omaha, NE 68124","$162,000 ",2 bds,3 ba,"2,270 sqft",'https://www.zillow.com/homedetails/9606-Southby-Plz-Omaha-NE-68124/75831293_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/12/2023,Yes,12/4/2023,44,8
57,"9606 Southby Plz, Omaha, NE 68124","$162,000 ",2 bds,3 ba,"2,270 sqft",'https://www.zillow.com/homedetails/9606-Southby-Plz-Omaha-NE-68124/75831293_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/12/2023,Yes,12/4/2023,44,8
370,"4301 N 193rd Cir, Elkhorn, NE 68022","$565,000 ",3 bds,3 ba,"3,020 sqft",'https://www.zillow.com/homedetails/4301-N-193rd-Cir-Elkhorn-NE-68022/118747756_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/12/2024,1/3/2024,No,12/30/2023,44,4
385,"2508 S 100th St, Omaha, NE 68124","$750,000 ",5 bds,4 ba,"3,588 sqft",'https://www.zillow.com/homedetails/2508-S-100th-St-Omaha-NE-68124/118790440_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/15/2024,2/12/2024,No,1/2/2024,44,41
398,"16305 Sherwood Ave, Omaha, NE 68116","$345,000 ",4 bds,3 ba,"2,550 sqft",https://www.zillow.com/homedetails/16305-Sherwood-Ave-Omaha-NE-68116/75772866_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/23/2024,1/17/2024,No,1/10/2024,44,7
463,"6215 S 42nd St, Omaha, NE 68107","$215,000 ",2 bds,2 ba,"1,804 sqft",'https://www.zillow.com/homedetails/6215-S-42nd-St-Omaha-NE-68107/75771733_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/2/2024,12/24/2023,No,12/20/2023,44,4
58,"3936 N 37th St, Omaha, NE 68111","$90,000 ",2 bds,1 ba,738 sqft,'https://www.zillow.com/homedetails/3936-N-37th-St-Omaha-NE-68111/75823805_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/25/2024,1/12/2024,Yes,12/11/2023,45,32
59,"4822 Grant St, Omaha, NE 68104","$192,500 ",2 bds,1 ba,912 sqft,'https://www.zillow.com/homedetails/4822-Grant-St-Omaha-NE-68104/75872524_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/14/2023,Yes,12/5/2023,45,9
60,"4822 Grant St, Omaha, NE 68104","$192,500 ",2 bds,1 ba,912 sqft,'https://www.zillow.com/homedetails/4822-Grant-St-Omaha-NE-68104/75872524_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/14/2023,Yes,12/5/2023,45,9
342,"17026 Aurora St, Omaha, NE 68136","$415,000 ",4 bds,3 ba,"2,927 sqft",'https://www.zillow.com/homedetails/17026-Aurora-St-Omaha-NE-68136/122922120_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/2/2024,12/21/2023,No,12/19/2023,45,2
357,"3115 N 58th St, Omaha, NE 68104","$205,000 ",4 bds,2 ba,"1,500 sqft",'https://www.zillow.com/homedetails/3115-N-58th-St-Omaha-NE-68104/75843180_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,12/13/2023,No,12/2/2023,45,11
358,"3115 N 58th St, Omaha, NE 68104","$205,000 ",4 bds,2 ba,"1,500 sqft",'https://www.zillow.com/homedetails/3115-N-58th-St-Omaha-NE-68104/75843180_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,12/13/2023,No,12/2/2023,45,11
410,"7306 S 174th St, Omaha, NE 68136","$273,000 ",3 bds,2 ba,"1,723 sqft",'https://www.zillow.com/homedetails/7306-S-174th-St-Omaha-NE-68136/59909813_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/20/2024,1/30/2024,No,1/6/2024,45,24
61,"10323 Wright St, Omaha, NE 68124","$280,000 ",3 bds,2 ba,"1,796 sqft",'https://www.zillow.com/homedetails/10323-Wright-St-Omaha-NE-68124/75768874_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/14/2024,2/1/2024,Yes,12/30/2023,46,33
62,"4014 Browne St, Omaha, NE 68111","$94,000 ",3 bds,1 ba,972 sqft,'https://www.zillow.com/homedetails/4014-Browne-St-Omaha-NE-68111/75841503_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/20/2023,Yes,12/4/2023,46,16
63,"4014 Browne St, Omaha, NE 68111","$94,000 ",3 bds,1 ba,972 sqft,'https://www.zillow.com/homedetails/4014-Browne-St-Omaha-NE-68111/75841503_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/20/2023,Yes,12/4/2023,46,16
378,"4334 N 56th St, Omaha, NE 68104","$205,000 ",3 bds,2 ba,"1,560 sqft",'https://www.zillow.com/homedetails/4334-N-56th-St-Omaha-NE-68104/75765036_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/13/2024,1/22/2024,No,12/29/2023,46,24
428,"15188 R St, Omaha, NE 68137","$298,000 ",3 bds,3 ba,"1,786 sqft",'https://www.zillow.com/homedetails/15188-R-St-Omaha-NE-68137/75777806_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/22/2024,12/11/2023,No,12/7/2023,46,4
429,"15188 R St, Omaha, NE 68137","$298,000 ",3 bds,3 ba,"1,786 sqft",'https://www.zillow.com/homedetails/15188-R-St-Omaha-NE-68137/75777806_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/22/2024,12/11/2023,No,12/7/2023,46,4
64,"1925 S 49th St, Omaha, NE 68106","$135,000 ",3 bds,2 ba,"1,325 sqft",'https://www.zillow.com/homedetails/1925-S-49th-St-Omaha-NE-68106/75771839_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/29/2024,12/28/2023,Yes,12/13/2023,47,15
65,"7412 S 155th Ave, Omaha, NE 68138","$319,500 ",4 bds,3 ba,"2,506 sqft",'https://www.zillow.com/homedetails/7412-S-155th-Ave-Omaha-NE-68138/6651838_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/22/2024,12/21/2023,Yes,12/6/2023,47,15
66,"7412 S 155th Ave, Omaha, NE 68138","$319,500 ",4 bds,3 ba,"2,506 sqft",'https://www.zillow.com/homedetails/7412-S-155th-Ave-Omaha-NE-68138/6651838_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/22/2024,12/21/2023,Yes,12/6/2023,47,15
67,"1502 N 129th St, Omaha, NE 68154","$465,000 ",2 bds,3 ba,"2,471 sqft",'https://www.zillow.com/homedetails/1502-N-129th-St-Omaha-NE-68154/2055768675_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/18/2023,Yes,12/1/2023,47,17
68,"1502 N 129th St, Omaha, NE 68154","$465,000 ",2 bds,3 ba,"2,471 sqft",'https://www.zillow.com/homedetails/1502-N-129th-St-Omaha-NE-68154/2055768675_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/18/2023,Yes,12/1/2023,47,17
421,"5610 Hickory St, Omaha, NE 68106","$265,000 ",3 bds,2 ba,"1,503 sqft",'https://www.zillow.com/homedetails/5610-Hickory-St-Omaha-NE-68106/75797739_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/13/2023,No,12/1/2023,47,12
422,"5610 Hickory St, Omaha, NE 68106","$265,000 ",3 bds,2 ba,"1,503 sqft",'https://www.zillow.com/homedetails/5610-Hickory-St-Omaha-NE-68106/75797739_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/17/2024,12/13/2023,No,12/1/2023,47,12
69,"2815 N 202nd St, Elkhorn, NE 68022","$350,000 ",3 bds,3 ba,"1,870 sqft",'https://www.zillow.com/homedetails/2815-N-202nd-St-Elkhorn-NE-68022/244939552_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/20/2024,1/26/2024,Yes,1/3/2024,48,23
70,"19880 K St, Omaha, NE 68135","$345,000 ",3 bds,2 ba,"1,477 sqft",'https://www.zillow.com/homedetails/19880-K-St-Omaha-NE-68135/180971118_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/16/2024,2/12/2024,Yes,12/30/2023,48,44
71,"6520 Florence Blvd, Omaha, NE 68112","$280,000 ",5 bds,3 ba,"2,250 sqft",'https://www.zillow.com/homedetails/6520-Florence-Blvd-Omaha-NE-68112/75875177_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/23/2024,12/27/2023,Yes,12/6/2023,48,21
313,"7214 N 34th St, Omaha, NE 68112","$72,000 ",3 bds,1 ba,"1,461 sqft",'https://www.zillow.com/homedetails/7214-N-34th-St-Omaha-NE-68112/75809001_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/19/2023,No,12/2/2023,48,17
314,"7214 N 34th St, Omaha, NE 68112","$72,000 ",3 bds,1 ba,"1,461 sqft",'https://www.zillow.com/homedetails/7214-N-34th-St-Omaha-NE-68112/75809001_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/19/2023,No,12/2/2023,48,17
388,"2712 N 47th Ave, Omaha, NE 68104","$239,000 ",3 bds,2 ba,"1,742 sqft",'https://www.zillow.com/homedetails/2712-N-47th-Ave-Omaha-NE-68104/75764704_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/25/2024,12/12/2023,No,12/8/2023,48,4
396,"13495 Kingswood Dr, Omaha, NE 68144","$289,500 ",4 bds,3 ba,"2,162 sqft",'https://www.zillow.com/homedetails/13495-Kingswood-Dr-Omaha-NE-68144/75762791_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,12/17/2023,No,11/29/2023,48,18
397,"13495 Kingswood Dr, Omaha, NE 68144","$289,500 ",4 bds,3 ba,"2,162 sqft",'https://www.zillow.com/homedetails/13495-Kingswood-Dr-Omaha-NE-68144/75762791_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,12/17/2023,No,11/29/2023,48,18
437,"105 S 9th St APT 703, Omaha, NE 68102","$445,000 ",2 bds,2 ba,"1,269 sqft",'https://www.zillow.com/homedetails/105-S-9th-St-APT-703-Omaha-NE-68102/118855465_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/16/2024,1/16/2024,No,12/30/2023,48,17
72,"5116 Decatur St, Omaha, NE 68104","$280,000 ",2 bds,2 ba,"1,612 sqft",'https://www.zillow.com/homedetails/5116-Decatur-St-Omaha-NE-68104/75860186_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/16/2024,1/15/2024,Yes,12/29/2023,49,17
73,"1616 S 6th St, Omaha, NE 68108","$210,000 ",2 bds,2 ba,"1,882 sqft",'https://www.zillow.com/homedetails/1616-S-6th-St-Omaha-NE-68108/75813621_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/2/2024,1/10/2024,Yes,12/15/2023,49,26
74,"1729 S 153rd Avenue Cir, Omaha, NE 68144","$325,000 ",4 bds,3 ba,"2,308 sqft",'https://www.zillow.com/homedetails/1729-S-153rd-Avenue-Cir-Omaha-NE-68144/75894182_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/1/2024,12/31/2023,Yes,12/14/2023,49,17
75,"20807 Plum St, Elkhorn, NE 68022","$320,000 ",3 bds,2 ba,"1,643 sqft",'https://www.zillow.com/homedetails/20807-Plum-St-Elkhorn-NE-68022/75803030_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/16/2023,Yes,12/1/2023,49,15
76,"20807 Plum St, Elkhorn, NE 68022","$320,000 ",3 bds,2 ba,"1,643 sqft",'https://www.zillow.com/homedetails/20807-Plum-St-Elkhorn-NE-68022/75803030_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/16/2023,Yes,12/1/2023,49,15
77,"21102 Arbor Ct, Elkhorn, NE 68022","$560,000 ",4 bds,3 ba,"3,352 sqft",'https://www.zillow.com/homedetails/21102-Arbor-Ct-Elkhorn-NE-68022/75792279_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,12/26/2023,Yes,11/28/2023,49,28
78,"21102 Arbor Ct, Elkhorn, NE 68022","$560,000 ",4 bds,3 ba,"3,352 sqft",'https://www.zillow.com/homedetails/21102-Arbor-Ct-Elkhorn-NE-68022/75792279_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/16/2024,12/26/2023,Yes,11/28/2023,49,28
302,"3989 Scott St, Omaha, NE 68112","$300,000 ",3 bds,2 ba,"1,980 sqft",'https://www.zillow.com/homedetails/3989-Scott-St-Omaha-NE-68112/75810985_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/21/2023,No,12/1/2023,49,20
303,"3989 Scott St, Omaha, NE 68112","$300,000 ",3 bds,2 ba,"1,980 sqft",'https://www.zillow.com/homedetails/3989-Scott-St-Omaha-NE-68112/75810985_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/21/2023,No,12/1/2023,49,20
316,"5020 N 181st St, Elkhorn, NE 68022","$485,000 ",4 bds,3 ba,"2,531 sqft",'https://www.zillow.com/homedetails/5020-N-181st-St-Elkhorn-NE-68022/303955404_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/16/2024,1/4/2024,No,12/29/2023,49,6
391,"16615 Yort Ave, Omaha, NE 68116","$405,000 ",3 bds,4 ba,"3,141 sqft",'https://www.zillow.com/homedetails/16615-Yort-Ave-Omaha-NE-68116/75772338_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/9/2024,12/27/2023,No,12/22/2023,49,5
79,"17007 Howard Plz, Omaha, NE 68118","$770,000 ",5 bds,5 ba,"5,492 sqft",'https://www.zillow.com/homedetails/17007-Howard-Plz-Omaha-NE-68118/118786589_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/15/2024,1/29/2024,Yes,12/27/2023,50,33
80,"2860 Spaulding St, Omaha, NE 68111","$84,000 ",3 bds,1 ba,"1,254 sqft",'https://www.zillow.com/homedetails/2860-Spaulding-St-Omaha-NE-68111/75816231_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/23/2024,12/19/2023,Yes,12/4/2023,50,15
81,"3029 Titus Ave, Omaha, NE 68112","$190,000 ",4 bds,2 ba,"2,048 sqft",'https://www.zillow.com/homedetails/3029-Titus-Ave-Omaha-NE-68112/75860963_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/11/2023,Yes,11/30/2023,50,11
82,"3029 Titus Ave, Omaha, NE 68112","$190,000 ",4 bds,2 ba,"2,048 sqft",'https://www.zillow.com/homedetails/3029-Titus-Ave-Omaha-NE-68112/75860963_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,1/19/2024,12/11/2023,Yes,11/30/2023,50,11
351,"15909 T St, Omaha, NE 68135","$357,500 ",3 bds,4 ba,"2,643 sqft",'https://www.zillow.com/homedetails/15909-T-St-Omaha-NE-68135/75823429_zpid/',https://photos.zillowstatic.com/fp/60e7322d5c3d5da4d7893f44ef074110-zillow_web_48_23.jpg,2/16/2024,1/4/2024,No,12/28/2023,50,7
